OBJECTID,ORIG_NUM,CAM_NUM,X_COORD,Y_COORD,Latitude,Longitude,LOCATION,CCTV_SCHEME,Done
1239,CB112,112,259395,669198,55.895312,-4.2500958,Ronaldsay Street,,
1240,CB113,113,259369,669379,55.89693,-4.2506054,Liddesdale Road,,
674,CB114,114,259789,667987,55.884555,-4.2431729,Junction Of Finlas Street And Carlisle Street,Drumchapel/Maryhill,
836,CB115,115,259817,667247,55.877919,-4.2423424,Junction Of Entrance To M8 Food Park And Keppoc,Drumchapel/Maryhill,
1251,CB18,18,259511,668969,55.89329,-4.2481235,On Westray Street at Westray Circus,,
1032,CB22,22,258431,668506,55.888817,-4.2651363,Bilsland Drive at Emerson Street,,
840,CB23,23,258913,668233,55.886508,-4.2572939,Junction Of Balmore Road And Bilsland Drive,Drumchapel/Maryhill,
839,CB24,24,258948,668095,55.885279,-4.2566629,Junction Of Balmore Road And Stronend Street,Drumchapel/Maryhill,
838,CB26,26,259094,667932,55.883858,-4.2542458,Saracen Cross,Drumchapel/Maryhill,
837,CB27,27,259091,667752,55.882241,-4.2542,Junction Of Saracen Street And Allander Street,Drumchapel/Maryhill,
672,CB28,28,258916,667917,55.883671,-4.2570812,Junction Of Bardowie Street And Carbeth Street,Drumchapel/Maryhill,
673,CB29,29,259394,667919,55.883829,-4.2494471,Junction Of Bardowie Street Near Ashfield Stree,Drumchapel/Maryhill,
675,CB30,30,259923,667362,55.878983,-4.240709,Junction Of Endrick Street And Keppochhill Road,Drumchapel/Maryhill,
1258,CB33,33,259615,669585,55.898851,-4.2467816,Egilsay Street at Ronay Street,,
1034,CB34,34,259325,669807,55.900759,-4.2515311,Scaraway Street at Skerry Terrace,,
1035,CB35,35,259790,669794,55.900778,-4.2440936,Scaraway Street at Valley Street,,
750,CB38,38,257960,667558,55.880167,-4.2721629,Maryhill Road At Queens Cross,Drumchapel/Maryhill,
752,CB41,41,257892,668436,55.88803,-4.27371,Junction Of Ruchill Street And Mayfield Street,Drumchapel/Maryhill,
753,CB42,42,257899,668371,55.887448,-4.273564,Junction Of Bilsland Drive And Mayfield Street,Drumchapel/Maryhill,
849,CB43,43,257819,668620,55.88966,-4.2749728,Opposite No 3 Brassey Street,Drumchapel/Maryhill,
835,EA104,104,260118,664313,55.851665,-4.2360206,Glasgow Green at Doulton Fountain,,
1014,EA105,105,260104,664300,55.851545,-4.2362373,Glasgow Green at Doulton Fountain,,
1019,EA129,129,259579,664429,55.85255,-4.2446831,Glasgow Green at West Boat House,,
1020,EA130,130,259578,664510,55.853277,-4.2447411,Glasgow Green at Greendyke Street,,
1021,EA131,131,259819,664486,55.853132,-4.2408821,Glasgow Green at Charlotte Street,,
1010,EA132,132,259957,664213,55.850721,-4.2385386,Glasgow Green SW of People's Palace,,
1022,EA133,133,259980,664062,55.849372,-4.2380935,Glasgow Green at Humane Society House,,
1018,EA134,134,260108,663928,55.848206,-4.2359816,Glasgow Green at East Boat House,,
1017,EA135,135,260240,664052,55.849357,-4.233939,Glasgow Green at Templeton Street,,
1015,EA136,136,260091,664317,55.851693,-4.2364536,Glasgow Green at Doulton Fountain,,
1016,EA137,137,260104,664328,55.851796,-4.2362518,Glasgow Green at Doulton Fountain,,
1083,EA156,156,261452,663591,55.845568,-4.2143607,Nuneaton Street at Boden Street,East End,
1024,EA185,185,262169,665571,55.863551,-4.2039254,Alexandra Park,,
973,EA36,36,259670,664870,55.856536,-4.243459,Gallowgate at High Street,City Centre,
896,EA56,56,260801,663446,55.844079,-4.2246749,Reid Street at Franklin Street,East End,
897,EA57,57,260814,663744,55.846758,-4.2246203,Reid Street at Muslin Street,East End,
898,EA58,58,260693,663966,55.848716,-4.2266653,Main Street at Bridgeton Cross,East End,
899,EA59,59,260735,664019,55.849204,-4.2260222,London Road at Bridgeton Cross,East End,
900,EA61,61,260653,664512,55.853607,-4.2275842,Abercromby Street at Millroad Street,East End,
846,EA62,62,260397,664548,55.853856,-4.2316887,Green Street / Moncur Street,East End,
